NI VB-8012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Name,Serial Number,Firmware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VB8012-308D465,308D465,16.1.0f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIGITAL MULTIMETER,,,,,,,DIGITAL I/O,,,,,,,,,
Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Configuration,,,,,,,Configuration,,,,,,,,,
,Analog,,,,,,,,,,,Math,,,,,,,,,Trigger,,,,,,,,,Acquisition,,,,Analog,,,,,,,Digital,,,,,,,,
,,Name,Alias,Channel Coupling,Bandwidth Limit,Input Impedance,Probe Attenuation,Volts Per Division,Vertical Offset (V),ΔT (ns),,,Name,Alias,Math Operation,Source A,Source B,ΔT (ns),Units,,,Type,Delay (s),Reason,Edge,Source,Level (V),Hysteresis,,,Mode,,,,Name,Measurement Mode,Input Impedance,Null Offset,,,,Name,Direction,,,,,,
,,1,1,DC,Full Bandwidth,1 MΩ,1X,1 V/,-0.685994,100000,,,Math,Arithmetic,A - B,1,2,100000,V,,,Edge,0,Triggered,Rising,1,1,Minimum,,,Peak Detect,,,,DMM,DC Voltage,Normal Impedance (10 MΩ),Off,,,,0,Input,,,,,,
,,2,2,DC,Full Bandwidth,1 MΩ,1X,1 V/,0.466269,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Input,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Input,,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIGITAL MULTIMETER,,,,,,,DIGITAL I/O,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data,,,,,,,Data,,,,,,,,,
,Analog,,,,,,,Math,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,,,,,,,Digital,,,,,,,,
,,Timestamps (ns),1 Min,1 Max,2 Min,2 Max,,,Timestamps (ns),Arithmetic Min,Arithmetic Max,,,,,,,,,,,,,,,,,,,,,,,,DMM,,,,,,,0,1,2,3,4,5,6,7
,,-50000000,0.521385305,0.768298886,0.439080779,0.562537569,,,-50000000,0.082304527,0.205761317,,,,,,,,,,,,,,,,,,,,,,,,0.000962527,,,,,,,0,0,0,0,0,0,0,0
,,-49900000,0.685994359,0.932907939,0.480233042,0.603689832,,,-49900000,0.205761317,0.329218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49800000,0.850603412,1.097516993,0.521385305,0.603689832,,,-49800000,0.329218107,0.49382716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49700000,1.015212466,1.262126046,0.521385305,0.603689832,,,-49700000,0.49382716,0.658436214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49600000,1.179821519,1.4267351,0.521385305,0.603689832,,,-49600000,0.658436214,0.823045267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49500000,1.385582836,1.591344153,0.521385305,0.644842096,,,-49500000,0.864197531,0.946502058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49400000,1.55019189,1.755953207,0.562537569,0.644842096,,,-49400000,0.987654321,1.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49300000,1.714800943,1.92056226,0.562537569,0.644842096,,,-49300000,1.152263374,1.275720165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49200000,1.838257733,2.085171314,0.562537569,0.644842096,,,-49200000,1.275720165,1.440329218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49100000,2.002866787,2.249780367,0.562537569,0.644842096,,,-49100000,1.440329218,1.604938272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-49000000,2.16747584,2.373237157,0.562537569,0.644842096,,,-49000000,1.604938272,1.728395062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48900000,2.332084894,2.537846211,0.562537569,0.644842096,,,-48900000,1.769547325,1.893004115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48800000,2.455541684,2.661303001,0.562537569,0.644842096,,,-48800000,1.893004115,2.016460905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48700000,2.578998474,2.784759791,0.562537569,0.644842096,,,-48700000,2.016460905,2.139917695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48600000,2.743607528,2.949368844,0.562537569,0.644842096,,,-48600000,2.181069959,2.304526749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48500000,2.867064318,3.072825635,0.562537569,0.644842096,,,-48500000,2.304526749,2.427983539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48400000,2.990521108,3.196282425,0.562537569,0.644842096,,,-48400000,2.427983539,2.551440329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48300000,3.113977898,3.278586951,0.562537569,0.685994359,,,-48300000,2.551440329,2.592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48200000,3.237434688,3.402043742,0.562537569,0.685994359,,,-48200000,2.674897119,2.716049383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48100000,3.319739215,3.484348268,0.603689832,0.685994359,,,-48100000,2.716049383,2.798353909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-48000000,3.443196005,3.607805058,0.603689832,0.685994359,,,-48000000,2.839506173,2.9218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47900000,3.525500532,3.690109585,0.603689832,0.685994359,,,-47900000,2.9218107,3.004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47800000,3.607805058,3.772414112,0.603689832,0.685994359,,,-47800000,3.004115226,3.086419753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47700000,3.690109585,3.854718639,0.603689832,0.685994359,,,-47700000,3.086419753,3.16872428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47600000,3.772414112,3.895870902,0.603689832,0.685994359,,,-47600000,3.16872428,3.209876543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47500000,3.854718639,3.978175429,0.603689832,0.685994359,,,-47500000,3.251028807,3.29218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47400000,3.895870902,4.019327692,0.603689832,0.685994359,,,-47400000,3.29218107,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47300000,3.937023165,4.060479956,0.603689832,0.685994359,,,-47300000,3.333333333,3.374485597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47200000,4.019327692,4.101632219,0.603689832,0.727146622,,,-47200000,3.41563786,3.374485597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47100000,4.060479956,4.142784482,0.603689832,0.727146622,,,-47100000,3.456790123,3.41563786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-47000000,4.101632219,4.183936746,0.603689832,0.727146622,,,-47000000,3.497942387,3.456790123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46900000,4.101632219,4.225089009,0.603689832,0.727146622,,,-46900000,3.497942387,3.497942387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46800000,4.142784482,4.225089009,0.603689832,0.727146622,,,-46800000,3.53909465,3.497942387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46700000,4.142784482,4.225089009,0.603689832,0.727146622,,,-46700000,3.53909465,3.497942387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46600000,4.183936746,4.225089009,0.603689832,0.727146622,,,-46600000,3.580246914,3.497942387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46500000,4.183936746,4.266241272,0.603689832,0.727146622,,,-46500000,3.580246914,3.53909465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46400000,4.183936746,4.266241272,0.603689832,0.727146622,,,-46400000,3.580246914,3.53909465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46300000,4.142784482,4.266241272,0.603689832,0.727146622,,,-46300000,3.53909465,3.53909465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46200000,4.142784482,4.225089009,0.603689832,0.727146622,,,-46200000,3.53909465,3.497942387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46100000,4.142784482,4.225089009,0.603689832,0.727146622,,,-46100000,3.53909465,3.497942387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-46000000,4.101632219,4.183936746,0.603689832,0.727146622,,,-46000000,3.497942387,3.456790123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45900000,4.060479956,4.183936746,0.603689832,0.727146622,,,-45900000,3.456790123,3.456790123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45800000,4.019327692,4.142784482,0.603689832,0.727146622,,,-45800000,3.41563786,3.41563786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45700000,3.978175429,4.101632219,0.603689832,0.727146622,,,-45700000,3.374485597,3.374485597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45600000,3.937023165,4.060479956,0.603689832,0.685994359,,,-45600000,3.333333333,3.374485597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45500000,3.854718639,4.019327692,0.603689832,0.727146622,,,-45500000,3.251028807,3.29218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45400000,3.813566375,3.937023165,0.603689832,0.685994359,,,-45400000,3.209876543,3.251028807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45300000,3.731261849,3.895870902,0.603689832,0.685994359,,,-45300000,3.127572016,3.209876543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45200000,3.648957322,3.813566375,0.603689832,0.685994359,,,-45200000,3.04526749,3.127572016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45100000,3.566652795,3.731261849,0.603689832,0.685994359,,,-45100000,2.962962963,3.04526749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-45000000,3.484348268,3.648957322,0.562537569,0.685994359,,,-45000000,2.9218107,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44900000,3.402043742,3.566652795,0.562537569,0.685994359,,,-44900000,2.839506173,2.880658436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44800000,3.278586951,3.484348268,0.562537569,0.685994359,,,-44800000,2.716049383,2.798353909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44700000,3.155130161,3.360891478,0.562537569,0.685994359,,,-44700000,2.592592593,2.674897119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44600000,3.072825635,3.237434688,0.562537569,0.685994359,,,-44600000,2.510288066,2.551440329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44500000,2.908216581,3.155130161,0.562537569,0.685994359,,,-44500000,2.345679012,2.469135802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44400000,2.825912054,2.990521108,0.562537569,0.644842096,,,-44400000,2.263374486,2.345679012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44300000,2.661303001,2.867064318,0.562537569,0.644842096,,,-44300000,2.098765432,2.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44200000,2.537846211,2.743607528,0.562537569,0.644842096,,,-44200000,1.975308642,2.098765432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44100000,2.414389421,2.620150738,0.562537569,0.644842096,,,-44100000,1.851851852,1.975308642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-44000000,2.249780367,2.455541684,0.562537569,0.644842096,,,-44000000,1.687242798,1.810699588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43900000,2.085171314,2.332084894,0.562537569,0.644842096,,,-43900000,1.522633745,1.687242798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43800000,1.92056226,2.16747584,0.562537569,0.644842096,,,-43800000,1.358024691,1.522633745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43700000,1.79710547,2.002866787,0.562537569,0.644842096,,,-43700000,1.234567901,1.358024691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43600000,1.632496417,1.838257733,0.562537569,0.644842096,,,-43600000,1.069958848,1.193415638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43500000,1.467887363,1.67364868,0.521385305,0.644842096,,,-43500000,0.946502058,1.028806584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43400000,1.30327831,1.509039626,0.521385305,0.644842096,,,-43400000,0.781893004,0.864197531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43300000,1.138669256,1.344430573,0.521385305,0.603689832,,,-43300000,0.617283951,0.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43200000,0.932907939,1.179821519,0.521385305,0.603689832,,,-43200000,0.411522634,0.576131687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43100000,0.768298886,1.015212466,0.480233042,0.603689832,,,-43100000,0.288065844,0.411522634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-43000000,0.603689832,0.850603412,0.480233042,0.603689832,,,-43000000,0.12345679,0.24691358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-42900000,0.480233042,0.685994359,0.439080779,0.562537569,,,-42900000,0.041152263,0.12345679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-42800000,0.356776252,0.521385305,0.315623989,0.521385305,,,-42800000,0.041152263,4.44E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-42700000,0.233319462,0.397928515,0.233319462,0.397928515,,,-42700000,3.33E-16,3.89E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-42600000,0.109862672,0.315623989,0.109862672,0.274471725,,,-42600000,2.78E-16,0.041152263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-42500000,0.027558145,0.192167198,0.027558145,0.192167198,,,-42500000,3.89E-16,3.89E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-42400000,-0.013594118,0.109862672,-0.054746382,0.109862672,,,-42400000,0.041152263,2.78E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
