v1	Ib(Q1)	Ic(Q1)
Step Information: I1=100µ  (Run: 1/10)
0.000000000000000e+00	1.000000e-04	-9.819027e-05
1.000000000000000e-02	1.000000e-04	3.898798e-05
2.000000000000000e-02	1.000000e-04	2.360697e-04
3.000000000000000e-02	1.000000e-04	5.162369e-04
4.000000000000000e-02	1.000000e-04	9.087258e-04
5.000000000000000e-02	1.000000e-04	1.447773e-03
6.000000000000000e-02	1.000000e-04	2.169079e-03
7.000000000000001e-02	1.000000e-04	3.102995e-03
8.000000000000000e-02	1.000000e-04	4.264852e-03
9.000000000000000e-02	1.000000e-04	5.644934e-03
9.999999999999999e-02	1.000000e-04	7.202283e-03
1.100000000000000e-01	1.000000e-04	8.866193e-03
1.200000000000000e-01	1.000000e-04	1.054647e-02
1.300000000000000e-01	1.000000e-04	1.214985e-02
1.400000000000000e-01	1.000000e-04	1.359741e-02
1.500000000000000e-01	1.000000e-04	1.483738e-02
1.600000000000000e-01	1.000000e-04	1.584972e-02
1.700000000000000e-01	1.000000e-04	1.664220e-02
1.800000000000000e-01	1.000000e-04	1.724117e-02
1.900000000000000e-01	1.000000e-04	1.768140e-02
2.000000000000000e-01	1.000000e-04	1.799815e-02
2.100000000000000e-01	1.000000e-04	1.822254e-02
2.200000000000001e-01	1.000000e-04	1.837981e-02
2.300000000000001e-01	1.000000e-04	1.848931e-02
2.400000000000001e-01	1.000000e-04	1.856527e-02
2.500000000000001e-01	1.000000e-04	1.861795e-02
2.600000000000001e-01	1.000000e-04	1.865455e-02
2.700000000000001e-01	1.000000e-04	1.868012e-02
2.800000000000001e-01	1.000000e-04	1.869815e-02
2.900000000000001e-01	1.000000e-04	1.871102e-02
3.000000000000001e-01	1.000000e-04	1.872038e-02
3.100000000000001e-01	1.000000e-04	1.872734e-02
3.200000000000001e-01	1.000000e-04	1.873268e-02
3.300000000000001e-01	1.000000e-04	1.873691e-02
3.400000000000001e-01	1.000000e-04	1.874039e-02
3.500000000000001e-01	1.000000e-04	1.874336e-02
3.600000000000002e-01	1.000000e-04	1.874598e-02
3.700000000000002e-01	1.000000e-04	1.874836e-02
3.800000000000002e-01	1.000000e-04	1.875058e-02
3.900000000000002e-01	1.000000e-04	1.875270e-02
4.000000000000002e-01	1.000000e-04	1.875473e-02
4.100000000000002e-01	1.000000e-04	1.875672e-02
4.200000000000002e-01	1.000000e-04	1.875868e-02
4.300000000000002e-01	1.000000e-04	1.876061e-02
4.400000000000002e-01	1.000000e-04	1.876252e-02
4.500000000000002e-01	1.000000e-04	1.876443e-02
4.600000000000002e-01	1.000000e-04	1.876632e-02
4.700000000000003e-01	1.000000e-04	1.876822e-02
4.800000000000003e-01	1.000000e-04	1.877011e-02
4.900000000000003e-01	1.000000e-04	1.877199e-02
5.000000000000002e-01	1.000000e-04	1.877388e-02
5.100000000000002e-01	1.000000e-04	1.877576e-02
5.200000000000002e-01	1.000000e-04	1.877765e-02
5.300000000000002e-01	1.000000e-04	1.877953e-02
5.400000000000003e-01	1.000000e-04	1.878141e-02
5.500000000000003e-01	1.000000e-04	1.878329e-02
5.600000000000003e-01	1.000000e-04	1.878517e-02
5.700000000000003e-01	1.000000e-04	1.878706e-02
5.800000000000003e-01	1.000000e-04	1.878894e-02
5.900000000000003e-01	1.000000e-04	1.879082e-02
6.000000000000003e-01	1.000000e-04	1.879270e-02
6.100000000000003e-01	1.000000e-04	1.879459e-02
6.200000000000003e-01	1.000000e-04	1.879647e-02
6.300000000000003e-01	1.000000e-04	1.879835e-02
6.400000000000003e-01	1.000000e-04	1.880023e-02
6.500000000000004e-01	1.000000e-04	1.880211e-02
6.600000000000004e-01	1.000000e-04	1.880399e-02
6.700000000000004e-01	1.000000e-04	1.880587e-02
6.800000000000004e-01	1.000000e-04	1.880776e-02
6.900000000000004e-01	1.000000e-04	1.880964e-02
7.000000000000004e-01	1.000000e-04	1.881152e-02
7.100000000000004e-01	1.000000e-04	1.881340e-02
7.200000000000004e-01	1.000000e-04	1.881528e-02
7.300000000000004e-01	1.000000e-04	1.881717e-02
7.400000000000004e-01	1.000000e-04	1.881905e-02
7.500000000000004e-01	1.000000e-04	1.882093e-02
7.600000000000005e-01	1.000000e-04	1.882281e-02
7.700000000000005e-01	1.000000e-04	1.882469e-02
7.800000000000005e-01	1.000000e-04	1.882657e-02
7.900000000000005e-01	1.000000e-04	1.882846e-02
8.000000000000005e-01	1.000000e-04	1.883034e-02
8.100000000000005e-01	1.000000e-04	1.883222e-02
8.200000000000005e-01	1.000000e-04	1.883410e-02
8.300000000000005e-01	1.000000e-04	1.883598e-02
8.400000000000005e-01	1.000000e-04	1.883787e-02
8.500000000000005e-01	1.000000e-04	1.883975e-02
8.600000000000005e-01	1.000000e-04	1.884163e-02
8.700000000000006e-01	1.000000e-04	1.884351e-02
8.800000000000006e-01	1.000000e-04	1.884539e-02
8.900000000000006e-01	1.000000e-04	1.884727e-02
9.000000000000006e-01	1.000000e-04	1.884915e-02
9.100000000000006e-01	1.000000e-04	1.885104e-02
9.200000000000006e-01	1.000000e-04	1.885292e-02
9.300000000000006e-01	1.000000e-04	1.885480e-02
9.400000000000006e-01	1.000000e-04	1.885668e-02
9.500000000000006e-01	1.000000e-04	1.885857e-02
9.600000000000006e-01	1.000000e-04	1.886045e-02
9.700000000000006e-01	1.000000e-04	1.886233e-02
9.800000000000006e-01	1.000000e-04	1.886421e-02
9.900000000000007e-01	1.000000e-04	1.886609e-02
